group,indicator,n_pos,n_neg,n_mwu,n_en,n_xgb,n_final,features
q4,BMI,71,71,281,0,30,11,SM(d20:0_24:3); SM(d39:1); PE(14:0e); DG(10:0_11:1); SM(d18:1_20:1) ...
q4,weight,72,75,66,0,30,8,SM(d16:3_24:); PI(18:0_22:5); PE(14:0e); DG(38:5e); SM(d40:0) ...
q4,bmi_z,71,71,234,5,30,1,DG(10:0_11:1)
q4,waistline,73,72,249,80,30,4,SM(d36:3); PI(16:0_16:1); SM(d42:6); CL(86:14)
q4,hipline,71,74,325,0,30,10,LPC(18:2e); PC(18:2e_20:4); TG(19:1_16:0_18:3); SM(d18:1_20:1); TG(17:0_18:1_18:3) ...
q4,WHR,71,71,224,28,30,5,Hex2Cer(d34:2); Cer(d18:2_20:1); SM(d20:0_18:4); PE(16:0p_22:6); PI(16:0_20:4)
q4,PBF,71,72,367,39,30,3,TG(17:0_18:1_20:5); Hex1Cer(d18:0_20:4); PC(15:0_18:2)
q4,PSM,71,71,401,53,30,5,PC(15:0_18:2); Cer(d16:1_18:0); TG(6:0_10:3_10:4); Hex1Cer(d18:0_20:4); Cer(d38:0)
q3,BMI,94,95,253,25,30,4,Cer(d19:1_24:1); SM(d42:6); Hex1Cer(d18:0_20:4); Cer(d19:1_23:4)
q3,weight,94,94,210,0,30,7,Cer(t18:1_24:0); Hex2Cer(d34:2); TG(16:0_20:4_22:6); SM(d18:1_20:1); SM(d18:3_24:3) ...
q3,bmi_z,94,94,247,0,30,14,SM(d20:0_24:2); Cer(t16:0_19:1); SM(d40:0); DG(10:0_11:1); PE(18:2e_16:1) ...
q3,waistline,95,95,154,34,30,3,SM(d36:3); PI(16:0_18:1); CL(86:14)
q3,hipline,94,94,311,0,30,10,LPC(18:2e); PA(45:7); LPC(19:0); SM(d16:3_24:2); TG(19:1_16:0_18:3) ...
q3,WHR,94,94,211,24,30,6,SM(d18:1_18:0); TG(19:0_18:1_18:2); CL(79:4); PE(16:0p_22:6); PI(16:0_20:3) ...
q3,PBF,94,94,360,25,30,3,PS(36:3e); Hex1Cer(d18:0_20:4); Cer(t18:1_21:2)
q3,PSM,94,94,359,24,30,1,Hex1Cer(d18:0_20:4)
