group,indicator,model,n_pos,n_neg,n_feat,auc,ap,sens,spec,youden_thr,tn,fp,fn,tp
q4,BMI,LR,71,71,11,0.7247,0.6851,0.6197,0.8169,0.572942928318703,58,13,27,44
q4,BMI,RF,71,71,11,0.8215,0.8041,0.7465,0.8028,0.5070211990055342,57,14,18,53
q4,BMI,GBM,71,71,11,0.8098,0.7987,0.6901,0.8028,0.5380986474850913,57,14,22,49
q4,BMI,XGB,71,71,11,0.8286,0.8059,0.7746,0.7887,0.4318901598453522,56,15,16,55
q4,BMI,SVM,71,71,11,0.765,0.7763,0.6056,0.8451,0.5805934415350334,60,11,28,43
q4,BMI,KNN,71,71,11,0.674,0.6736,0.7887,0.4789,0.3691153405620436,34,37,15,56
q4,weight,LR,72,75,8,0.7339,0.7157,0.7639,0.5867,0.38621409233051623,44,31,17,55
q4,weight,RF,72,75,8,0.7213,0.7107,0.7222,0.64,0.4488453670885224,48,27,20,52
q4,weight,GBM,72,75,8,0.6235,0.6207,0.6806,0.4933,0.4038631075617635,37,38,23,49
q4,weight,XGB,72,75,8,0.6602,0.6607,0.4861,0.76,0.6714417934417725,57,18,37,35
q4,weight,SVM,72,75,8,0.6506,0.6203,0.5139,0.7467,0.5306911193726245,56,19,35,37
q4,weight,KNN,72,75,8,0.6271,0.5992,0.6111,0.64,0.4662245747901339,48,27,28,44
q4,bmi_z,LR,71,71,20,0.4753,0.4728,0.3803,0.6761,0.566626595674345,48,23,44,27
q4,bmi_z,RF,71,71,20,0.5951,0.631,0.3099,0.9296,0.636381279696336,66,5,49,22
q4,bmi_z,GBM,71,71,20,0.5775,0.5753,0.5634,0.6479,0.6296375128247202,46,25,31,40
q4,bmi_z,XGB,71,71,20,0.5695,0.5988,0.5352,0.6479,0.6239792108535767,46,25,33,38
q4,bmi_z,SVM,71,71,20,0.487,0.5291,0.1127,0.9577,0.5687369265771168,68,3,63,8
q4,bmi_z,KNN,71,71,20,0.5084,0.5006,0.3944,0.6901,0.5897108643278325,49,22,43,28
q4,waistline,LR,73,72,4,0.7432,0.7488,0.7671,0.6389,0.4311833107688548,46,26,17,56
q4,waistline,RF,73,72,4,0.7237,0.7504,0.6027,0.7222,0.5480000116707163,52,20,29,44
q4,waistline,GBM,73,72,4,0.688,0.7115,0.4658,0.8333,0.8304287902979993,60,12,39,34
q4,waistline,XGB,73,72,4,0.6931,0.6947,0.7123,0.625,0.44324713945388794,45,27,21,52
q4,waistline,SVM,73,72,4,0.7314,0.7251,0.7397,0.6806,0.4867466918134171,49,23,19,54
q4,waistline,KNN,73,72,4,0.7528,0.7418,0.726,0.6806,0.4728443785618036,49,23,20,53
q4,hipline,LR,71,74,10,0.7678,0.7154,0.7465,0.7568,0.528765303466881,56,18,18,53
q4,hipline,RF,71,74,10,0.8413,0.8426,0.7887,0.8243,0.5197943663992297,61,13,15,56
q4,hipline,GBM,71,74,10,0.8028,0.7878,0.7324,0.7973,0.5692255762363381,59,15,19,52
q4,hipline,XGB,71,74,10,0.8243,0.8337,0.6901,0.8784,0.7108830809593201,65,9,22,49
q4,hipline,SVM,71,74,10,0.7533,0.7451,0.6901,0.7568,0.5701188084545956,56,18,22,49
q4,hipline,KNN,71,74,10,0.772,0.7477,0.7324,0.7432,0.4533052651057965,55,19,19,52
q4,WHR,LR,71,71,5,0.7451,0.7352,0.6479,0.7324,0.5183323224768438,52,19,25,46
q4,WHR,RF,71,71,5,0.757,0.7938,0.5915,0.7887,0.5811294033428822,56,15,29,42
q4,WHR,GBM,71,71,5,0.7302,0.75,0.662,0.7324,0.588438922818017,52,19,24,47
q4,WHR,XGB,71,71,5,0.7495,0.7676,0.7183,0.6761,0.5131054520606995,48,23,20,51
q4,WHR,SVM,71,71,5,0.7594,0.7742,0.4507,0.9437,0.6933874338744123,67,4,39,32
q4,WHR,KNN,71,71,5,0.748,0.7653,0.6056,0.8169,0.6175350561380513,58,13,28,43
q4,PBF,LR,71,72,3,0.8226,0.7593,0.7746,0.8333,0.4690516224098174,60,12,16,55
q4,PBF,RF,71,72,3,0.8139,0.7791,0.8028,0.7778,0.3910821168610075,56,16,14,57
q4,PBF,GBM,71,72,3,0.757,0.7179,0.6901,0.75,0.4202839075835403,54,18,22,49
q4,PBF,XGB,71,72,3,0.8045,0.7533,0.7746,0.7917,0.42823177576065063,57,15,16,55
q4,PBF,SVM,71,72,3,0.7763,0.7338,0.7887,0.8056,0.3531583732084215,58,14,15,56
q4,PBF,KNN,71,72,3,0.7743,0.756,0.9859,0.4722,0.19974760161274563,34,38,1,70
q4,PSM,LR,71,71,5,0.8679,0.889,0.831,0.831,0.4888039173763857,59,12,12,59
q4,PSM,RF,71,71,5,0.8919,0.9082,0.8451,0.8028,0.3975381306638734,57,14,11,60
q4,PSM,GBM,71,71,5,0.8642,0.883,0.8028,0.7746,0.5304565926647585,55,16,14,57
q4,PSM,XGB,71,71,5,0.845,0.8698,0.7606,0.8028,0.6201194524765015,57,14,17,54
q4,PSM,SVM,71,71,5,0.8588,0.8843,0.8028,0.8451,0.48260560547063397,60,11,14,57
q4,PSM,KNN,71,71,5,0.8496,0.8629,0.7183,0.8732,0.6030197605246621,62,9,20,51
q3,BMI,LR,94,95,4,0.7018,0.7012,0.7979,0.5368,0.41687040296456346,51,44,19,75
q3,BMI,RF,94,95,4,0.6891,0.6675,0.766,0.5368,0.4254531372178723,51,44,22,72
q3,BMI,GBM,94,95,4,0.666,0.6448,0.8404,0.4526,0.26999109131773896,43,52,15,79
q3,BMI,XGB,94,95,4,0.6526,0.6602,0.5319,0.7158,0.654786229133606,68,27,44,50
q3,BMI,SVM,94,95,4,0.674,0.65,0.7766,0.6211,0.4681122520351512,59,36,21,73
q3,BMI,KNN,94,95,4,0.6493,0.6039,0.734,0.5368,0.4065157413954193,51,44,25,69
q3,weight,LR,94,94,7,0.6165,0.6362,0.3085,0.9043,0.645002048746878,85,9,65,29
q3,weight,RF,94,94,7,0.6468,0.6263,0.4468,0.8191,0.5815319483749595,77,17,52,42
q3,weight,GBM,94,94,7,0.6466,0.6414,0.4362,0.8298,0.7165156430436537,78,16,53,41
q3,weight,XGB,94,94,7,0.6231,0.5987,0.5319,0.6809,0.5256889462471008,64,30,44,50
q3,weight,SVM,94,94,7,0.62,0.6189,0.4787,0.8404,0.5665303058172677,79,15,49,45
q3,weight,KNN,94,94,7,0.6508,0.614,0.5532,0.734,0.5452059941779351,69,25,42,52
q3,bmi_z,LR,94,94,14,0.6633,0.6652,0.5745,0.7553,0.5579103558193965,71,23,40,54
q3,bmi_z,RF,94,94,14,0.7777,0.7724,0.7128,0.734,0.4692804326436977,69,25,27,67
q3,bmi_z,GBM,94,94,14,0.7217,0.7347,0.7553,0.617,0.36016246495299237,58,36,23,71
q3,bmi_z,XGB,94,94,14,0.7495,0.764,0.5532,0.8511,0.7302669882774353,80,14,42,52
q3,bmi_z,SVM,94,94,14,0.7103,0.7415,0.5957,0.7766,0.5731814904867968,73,21,38,56
q3,bmi_z,KNN,94,94,14,0.669,0.6939,0.5,0.7872,0.5710221959051407,74,20,47,47
q3,waistline,LR,95,95,3,0.6592,0.7056,0.5789,0.6632,0.4944336397310066,63,32,40,55
q3,waistline,RF,95,95,3,0.6832,0.6974,0.8,0.4737,0.405486710922293,45,50,19,76
q3,waistline,GBM,95,95,3,0.6665,0.638,0.5263,0.7789,0.6747624502594641,74,21,45,50
q3,waistline,XGB,95,95,3,0.663,0.6274,0.8105,0.5263,0.32715094089508057,50,45,18,77
q3,waistline,SVM,95,95,3,0.6658,0.6239,0.7263,0.5789,0.4614235681996098,55,40,26,69
q3,waistline,KNN,95,95,3,0.647,0.6387,0.5158,0.7368,0.5638223557444321,70,25,46,49
q3,hipline,LR,94,94,10,0.7148,0.6781,0.8085,0.5957,0.49527049892324254,56,38,18,76
q3,hipline,RF,94,94,10,0.7196,0.669,0.8404,0.5745,0.4555424815638653,54,40,15,79
q3,hipline,GBM,94,94,10,0.6767,0.6519,0.7128,0.6383,0.4201800450447792,60,34,27,67
q3,hipline,XGB,94,94,10,0.6726,0.654,0.7872,0.5213,0.31388404965400696,49,45,20,74
q3,hipline,SVM,94,94,10,0.6931,0.6642,0.8723,0.4894,0.43554208247477283,46,48,12,82
q3,hipline,KNN,94,94,10,0.6581,0.6168,0.6489,0.6809,0.5557527487223496,64,30,33,61
q3,WHR,LR,94,94,6,0.7316,0.7399,0.5213,0.8298,0.6004241136418211,78,16,45,49
q3,WHR,RF,94,94,6,0.7575,0.7239,0.7872,0.617,0.4822380226060529,58,36,20,74
q3,WHR,GBM,94,94,6,0.7356,0.7171,0.766,0.5957,0.3456508166416358,56,38,22,72
q3,WHR,XGB,94,94,6,0.7499,0.7116,0.766,0.6277,0.434361070394516,59,35,22,72
q3,WHR,SVM,94,94,6,0.7262,0.6917,0.5745,0.8085,0.5643738875889432,76,18,40,54
q3,WHR,KNN,94,94,6,0.7287,0.7151,0.5,0.8404,0.616559881384466,79,15,47,47
q3,PBF,LR,94,94,3,0.7402,0.7155,0.6383,0.8085,0.4786064477899043,76,18,34,60
q3,PBF,RF,94,94,3,0.8086,0.7921,0.8936,0.6489,0.41162134041357823,61,33,10,84
q3,PBF,GBM,94,94,3,0.7708,0.7463,0.9149,0.5319,0.14890362204136134,50,44,8,86
q3,PBF,XGB,94,94,3,0.7841,0.7699,0.7234,0.7234,0.4880834221839905,68,26,26,68
q3,PBF,SVM,94,94,3,0.7691,0.705,0.8298,0.6809,0.40860611660330437,64,30,16,78
q3,PBF,KNN,94,94,3,0.7621,0.7575,0.9043,0.5213,0.24169317789886355,49,45,9,85
q3,PSM,LR,94,94,20,0.6058,0.5926,0.8511,0.3511,0.356248826674126,33,61,14,80
q3,PSM,RF,94,94,20,0.7816,0.8243,0.7553,0.766,0.4756849513775985,72,22,23,71
q3,PSM,GBM,94,94,20,0.769,0.815,0.5426,0.9149,0.7989363199153358,86,8,43,51
q3,PSM,XGB,94,94,20,0.7672,0.8137,0.4681,0.9787,0.8436574935913086,92,2,50,44
q3,PSM,SVM,94,94,20,0.6868,0.7037,0.7872,0.5213,0.43422793830518663,49,45,20,74
q3,PSM,KNN,94,94,20,0.6653,0.6713,0.8404,0.4468,0.424761502502341,42,52,15,79
