group,indicator,model,direction,train_n,test_n,train_pos,test_pos,auc,ap,sens,spec,youden_thr,full_cohort_auc,auc_drop
q4,BMI,LR,f2m,92,50,48,23,0.6699,0.5913,0.6957,0.7037,0.6164967583961976,0.7247,0.05479999999999996
q4,BMI,RF,f2m,92,50,48,23,0.7536,0.7429,0.7826,0.7037,0.5686829844461274,0.8215,0.06789999999999996
q4,BMI,GBM,f2m,92,50,48,23,0.7504,0.7522,0.6957,0.8519,0.8336087835983619,0.8098,0.05940000000000001
q4,BMI,XGB,f2m,92,50,48,23,0.7617,0.7377,0.6087,0.8889,0.8136622309684753,0.8286,0.06689999999999996
q4,BMI,SVM,f2m,92,50,48,23,0.7311,0.7663,0.6087,0.8889,0.6606425311684149,0.765,0.03390000000000004
q4,BMI,KNN,f2m,92,50,48,23,0.6651,0.6497,0.6522,0.6667,0.5753658830528796,0.674,0.008900000000000019
q4,weight,LR,f2m,88,59,40,32,0.7049,0.7216,0.5938,0.7407,0.4376982399306202,0.7339,0.029000000000000026
q4,weight,RF,f2m,88,59,40,32,0.6979,0.7317,0.5938,0.8519,0.4948585986431464,0.7213,0.023400000000000087
q4,weight,GBM,f2m,88,59,40,32,0.6528,0.6777,0.5312,0.8148,0.6527014402266051,0.6235,-0.029299999999999993
q4,weight,XGB,f2m,88,59,40,32,0.6759,0.6901,0.5312,0.7778,0.6139121651649475,0.6602,-0.015699999999999936
q4,weight,SVM,f2m,88,59,40,32,0.6771,0.6935,0.5625,0.7778,0.45081593692943905,0.6506,-0.02650000000000008
q4,weight,KNN,f2m,88,59,40,32,0.6262,0.654,0.7812,0.4815,0.29949520625948883,0.6271,0.0009000000000000119
q4,bmi_z,LR,f2m,88,54,46,25,0.4097,0.4433,0.04,1.0,0.8620265264006569,0.4753,0.06559999999999999
q4,bmi_z,RF,f2m,88,54,46,25,0.5793,0.5365,0.64,0.6552,0.5361541417864838,0.5951,0.015799999999999925
q4,bmi_z,GBM,f2m,88,54,46,25,0.5407,0.4844,0.56,0.6897,0.6045948460123374,0.5775,0.036800000000000055
q4,bmi_z,XGB,f2m,88,54,46,25,0.5697,0.5161,0.68,0.6552,0.5561583042144775,0.5695,-0.00019999999999997797
q4,bmi_z,SVM,f2m,88,54,46,25,0.4455,0.4677,0.92,0.1379,0.4398301056318511,0.487,0.04149999999999998
q4,bmi_z,KNN,f2m,88,54,46,25,0.5469,0.5053,0.48,0.6897,0.7200899139375025,0.5084,-0.03850000000000009
q4,waistline,LR,f2m,89,56,46,27,0.7612,0.7894,0.6296,0.7931,0.5208866082190131,0.7432,-0.018000000000000016
q4,waistline,RF,f2m,89,56,46,27,0.7184,0.6907,0.5185,0.8276,0.5886686037101165,0.7237,0.005299999999999971
q4,waistline,GBM,f2m,89,56,46,27,0.7005,0.71,0.6667,0.7586,0.463279222650572,0.688,-0.012500000000000067
q4,waistline,XGB,f2m,89,56,46,27,0.7433,0.7314,0.7037,0.6897,0.4352174699306488,0.6931,-0.05019999999999991
q4,waistline,SVM,f2m,89,56,46,27,0.7229,0.7187,0.5556,0.8276,0.5333259351233521,0.7314,0.008500000000000063
q4,waistline,KNN,f2m,89,56,46,27,0.7395,0.7077,0.8148,0.6207,0.3553812330570446,0.7528,0.013299999999999979
q4,hipline,LR,f2m,88,57,43,28,0.7401,0.725,0.6071,0.8276,0.649431092965282,0.7678,0.027700000000000058
q4,hipline,RF,f2m,88,57,43,28,0.819,0.8478,0.8571,0.6897,0.5913076767744997,0.8413,0.022300000000000098
q4,hipline,GBM,f2m,88,57,43,28,0.734,0.7321,0.6429,0.8621,0.9537989650645919,0.8028,0.06879999999999997
q4,hipline,XGB,f2m,88,57,43,28,0.7919,0.8203,0.7857,0.7241,0.7228837609291077,0.8243,0.032399999999999984
q4,hipline,SVM,f2m,88,57,43,28,0.6724,0.705,0.8929,0.4483,0.4171214765517678,0.7533,0.08089999999999997
q4,hipline,KNN,f2m,88,57,43,28,0.6866,0.7134,0.6071,0.7241,0.47303199954072384,0.772,0.08540000000000003
q4,WHR,LR,f2m,88,54,46,25,0.8607,0.8531,0.8,0.7931,0.5180505369190367,0.7451,-0.11560000000000004
q4,WHR,RF,f2m,88,54,46,25,0.8234,0.8181,0.76,0.7931,0.5163419435166974,0.757,-0.06640000000000001
q4,WHR,GBM,f2m,88,54,46,25,0.7807,0.7536,0.64,0.8966,0.8617827865804638,0.7302,-0.05049999999999999
q4,WHR,XGB,f2m,88,54,46,25,0.8276,0.8234,0.88,0.6897,0.3350520431995392,0.7495,-0.07809999999999995
q4,WHR,SVM,f2m,88,54,46,25,0.8234,0.8278,0.68,0.8276,0.5276262410905356,0.7594,-0.06400000000000006
q4,WHR,KNN,f2m,88,54,46,25,0.7752,0.7214,0.8,0.6897,0.5017925562689698,0.748,-0.027200000000000002
q4,PBF,LR,f2m,97,46,50,21,0.8029,0.7058,0.7619,0.84,0.5214040777573457,0.8226,0.01970000000000005
q4,PBF,RF,f2m,97,46,50,21,0.8133,0.7817,0.7619,0.84,0.47556217240394716,0.8139,0.0005999999999999339
q4,PBF,GBM,f2m,97,46,50,21,0.7457,0.6865,0.6667,0.84,0.6627839603703587,0.757,0.011299999999999977
q4,PBF,XGB,f2m,97,46,50,21,0.7829,0.7166,0.7143,0.84,0.7140456438064575,0.8045,0.021599999999999953
q4,PBF,SVM,f2m,97,46,50,21,0.7914,0.7103,0.7619,0.84,0.5939445868882013,0.7763,-0.015100000000000002
q4,PBF,KNN,f2m,97,46,50,21,0.7705,0.7886,0.5238,1.0,0.8907052466431326,0.7743,0.0038000000000000256
q4,PSM,LR,f2m,96,46,45,26,0.8385,0.8988,0.8077,0.8,0.5906532510249839,0.8679,0.02939999999999998
q4,PSM,RF,f2m,96,46,45,26,0.8481,0.8996,0.8462,0.75,0.48630332242939495,0.8919,0.04380000000000006
q4,PSM,GBM,f2m,96,46,45,26,0.8442,0.8835,0.8846,0.7,0.3528474713617243,0.8642,0.020000000000000018
q4,PSM,XGB,f2m,96,46,45,26,0.8596,0.9125,0.7308,0.9,0.8906922340393066,0.845,-0.014600000000000057
q4,PSM,SVM,f2m,96,46,45,26,0.8269,0.8733,0.6538,0.95,0.8088618555688245,0.8588,0.03190000000000004
q4,PSM,KNN,f2m,96,46,45,26,0.7673,0.8295,0.7308,0.75,0.6889989081544119,0.8496,0.08230000000000004
q3,BMI,LR,f2m,125,64,64,30,0.7402,0.7473,0.5333,0.8824,0.6120995047803499,0.7018,-0.03839999999999999
q3,BMI,RF,f2m,125,64,64,30,0.6353,0.5829,1.0,0.2941,0.3114116779477806,0.6891,0.05380000000000007
q3,BMI,GBM,f2m,125,64,64,30,0.5922,0.5625,0.4,0.8529,0.8211404086963219,0.666,0.07380000000000009
q3,BMI,XGB,f2m,125,64,64,30,0.6059,0.5804,0.8333,0.3824,0.2818836271762848,0.6526,0.046699999999999964
q3,BMI,SVM,f2m,125,64,64,30,0.7,0.6217,0.6,0.7647,0.5965345745831995,0.674,-0.025999999999999912
q3,BMI,KNN,f2m,125,64,64,30,0.6431,0.616,0.5667,0.7647,0.6703545353118325,0.6493,0.006199999999999983
q3,weight,LR,f2m,118,70,55,39,0.5873,0.6562,0.5641,0.6774,0.4227163466629751,0.6165,0.029200000000000004
q3,weight,RF,f2m,118,70,55,39,0.6187,0.6756,0.8205,0.4516,0.2921800335001284,0.6468,0.028100000000000014
q3,weight,GBM,f2m,118,70,55,39,0.5914,0.6654,0.4872,0.7419,0.5977201689765217,0.6466,0.055199999999999916
q3,weight,XGB,f2m,118,70,55,39,0.646,0.6828,0.6667,0.6129,0.3180016875267029,0.6231,-0.02290000000000003
q3,weight,SVM,f2m,118,70,55,39,0.6208,0.6699,0.3846,0.871,0.6011955038550896,0.62,-0.0008000000000000229
q3,weight,KNN,f2m,118,70,55,39,0.6055,0.6639,0.359,0.9032,0.5780318900275299,0.6508,0.04530000000000001
q3,bmi_z,LR,f2m,122,66,64,30,0.7,0.6455,0.8667,0.5278,0.36221697306544115,0.6633,-0.036699999999999955
q3,bmi_z,RF,f2m,122,66,64,30,0.7602,0.7693,0.7667,0.6667,0.4963744747470259,0.7777,0.01749999999999996
q3,bmi_z,GBM,f2m,122,66,64,30,0.7093,0.7005,0.5333,0.8611,0.8679925757880634,0.7217,0.012399999999999967
q3,bmi_z,XGB,f2m,122,66,64,30,0.7417,0.7151,0.6,0.8611,0.7966469526290894,0.7495,0.007800000000000029
q3,bmi_z,SVM,f2m,122,66,64,30,0.7204,0.7403,0.5667,0.8889,0.6333913000511898,0.7103,-0.010099999999999998
q3,bmi_z,KNN,f2m,122,66,64,30,0.6454,0.6461,0.5667,0.8333,0.5623059523930947,0.669,0.023600000000000065
q3,waistline,LR,f2m,121,69,61,34,0.5824,0.6654,0.2647,0.9714,0.7604516317380516,0.6592,0.07679999999999998
q3,waistline,RF,f2m,121,69,61,34,0.6387,0.6183,0.7353,0.5714,0.3760737865283004,0.6832,0.044499999999999984
q3,waistline,GBM,f2m,121,69,61,34,0.616,0.5937,0.7941,0.5143,0.22861660974872158,0.6665,0.05049999999999999
q3,waistline,XGB,f2m,121,69,61,34,0.642,0.6219,0.6176,0.6571,0.46397772431373596,0.663,0.02100000000000002
q3,waistline,SVM,f2m,121,69,61,34,0.6109,0.6418,0.3824,0.8571,0.5898494500739908,0.6658,0.05489999999999995
q3,waistline,KNN,f2m,121,69,61,34,0.6571,0.6738,0.6765,0.6286,0.3504007881798025,0.647,-0.010099999999999998
q3,hipline,LR,f2m,119,69,60,34,0.6941,0.6934,0.6765,0.6571,0.54961989257614,0.7148,0.02069999999999994
q3,hipline,RF,f2m,119,69,60,34,0.705,0.701,0.8235,0.5429,0.5630137139635029,0.7196,0.014600000000000057
q3,hipline,GBM,f2m,119,69,60,34,0.6748,0.6629,0.7353,0.6286,0.5137672774035571,0.6767,0.0019000000000000128
q3,hipline,XGB,f2m,119,69,60,34,0.6336,0.6457,0.6765,0.5714,0.52816241979599,0.6726,0.038999999999999924
q3,hipline,SVM,f2m,119,69,60,34,0.6639,0.6845,0.9118,0.3714,0.4252462732690401,0.6931,0.029200000000000004
q3,hipline,KNN,f2m,119,69,60,34,0.6588,0.6906,0.7059,0.6286,0.5254598348040729,0.6581,-0.0007000000000000339
q3,WHR,LR,f2m,121,67,62,32,0.7589,0.7839,0.5625,0.8571,0.6057123939185102,0.7316,-0.02729999999999999
q3,WHR,RF,f2m,121,67,62,32,0.7973,0.795,0.9375,0.5143,0.3682756934370754,0.7575,-0.03980000000000006
q3,WHR,GBM,f2m,121,67,62,32,0.75,0.7454,0.6562,0.7714,0.503451774338916,0.7356,-0.014399999999999968
q3,WHR,XGB,f2m,121,67,62,32,0.7821,0.7669,0.8125,0.6571,0.44196411967277527,0.7499,-0.032200000000000006
q3,WHR,SVM,f2m,121,67,62,32,0.7554,0.7457,0.625,0.8857,0.5665041987719469,0.7262,-0.029200000000000004
q3,WHR,KNN,f2m,121,67,62,32,0.7594,0.7594,0.9062,0.5143,0.37212046234225926,0.7287,-0.03069999999999995
q3,PBF,LR,f2m,127,61,68,26,0.7407,0.6554,0.6154,0.8286,0.5750071979955982,0.7402,-0.000500000000000056
q3,PBF,RF,f2m,127,61,68,26,0.8044,0.7828,0.8846,0.6286,0.38335249307692054,0.8086,0.0041999999999999815
q3,PBF,GBM,f2m,127,61,68,26,0.7835,0.7437,0.8077,0.7143,0.4865484496243987,0.7708,-0.012699999999999934
