group,indicator,model,direction,train_n,test_n,train_pos,test_pos,auc,ap,sens,spec,youden_thr,full_cohort_auc,auc_drop
q4,BMI,LR,m2f,50,92,23,48,0.6335,0.6916,0.4583,0.9091,0.5277215054669456,0.7247,0.09120000000000006
q4,BMI,RF,m2f,50,92,23,48,0.7424,0.777,0.6042,0.8182,0.45149025974025975,0.8215,0.07910000000000006
q4,BMI,GBM,m2f,50,92,23,48,0.6321,0.7026,0.4167,0.8864,0.7222041085156666,0.8098,0.17769999999999997
q4,BMI,XGB,m2f,50,92,23,48,0.7273,0.7811,0.625,0.8636,0.454446017742157,0.8286,0.10130000000000006
q4,BMI,SVM,m2f,50,92,23,48,0.6754,0.7159,0.7083,0.5909,0.4287704427515312,0.765,0.08960000000000001
q4,BMI,KNN,m2f,50,92,23,48,0.603,0.6535,0.3125,0.9545,0.5874728006181215,0.674,0.07100000000000006
q4,weight,LR,m2f,59,88,32,40,0.7151,0.7191,0.65,0.7708,0.5941417999142304,0.7339,0.01880000000000004
q4,weight,RF,m2f,59,88,32,40,0.712,0.7599,0.65,0.7708,0.5787925234122603,0.7213,0.009300000000000086
q4,weight,GBM,m2f,59,88,32,40,0.7151,0.6759,0.525,0.8542,0.9599790346951079,0.6235,-0.0915999999999999
q4,weight,XGB,m2f,59,88,32,40,0.6813,0.694,0.475,0.8542,0.8714697360992432,0.6602,-0.021100000000000008
q4,weight,SVM,m2f,59,88,32,40,0.6474,0.6276,0.675,0.7292,0.5464057287593314,0.6506,0.0031999999999999806
q4,weight,KNN,m2f,59,88,32,40,0.6659,0.6494,0.5,0.8542,0.5827894513445687,0.6271,-0.03880000000000006
q4,bmi_z,LR,m2f,54,88,25,46,0.5062,0.5594,0.1522,0.9524,0.8271070978141539,0.4753,-0.030899999999999983
q4,bmi_z,RF,m2f,54,88,25,46,0.4788,0.605,0.2174,0.9286,0.5998907350819116,0.5951,0.11629999999999996
q4,bmi_z,GBM,m2f,54,88,25,46,0.5186,0.5967,0.1739,0.9762,0.9723453886651066,0.5775,0.05890000000000006
q4,bmi_z,XGB,m2f,54,88,25,46,0.4772,0.5506,0.2609,0.8095,0.6953091025352478,0.5695,0.0923
q4,bmi_z,SVM,m2f,54,88,25,46,0.537,0.5934,0.3261,0.881,0.5791371299593662,0.487,-0.050000000000000044
q4,bmi_z,KNN,m2f,54,88,25,46,0.426,0.5114,1.0,0.0238,0.13152062984600282,0.5084,0.08239999999999997
q4,waistline,LR,m2f,56,89,27,46,0.7275,0.7366,0.9348,0.4419,0.3445856462783391,0.7432,0.015699999999999936
q4,waistline,RF,m2f,56,89,27,46,0.7037,0.6954,0.8913,0.5116,0.3744648569954298,0.7237,0.020000000000000018
q4,waistline,GBM,m2f,56,89,27,46,0.7063,0.6703,0.8696,0.6047,0.22494569608545373,0.688,-0.018300000000000094
q4,waistline,XGB,m2f,56,89,27,46,0.6805,0.6596,0.8913,0.4419,0.22563481330871582,0.6931,0.012600000000000056
q4,waistline,SVM,m2f,56,89,27,46,0.7149,0.6728,0.8043,0.6047,0.46638777204551607,0.7314,0.01650000000000007
q4,waistline,KNN,m2f,56,89,27,46,0.7558,0.7364,0.8043,0.6512,0.41710577650187997,0.7528,-0.0030000000000000027
q4,hipline,LR,m2f,57,88,28,43,0.8289,0.8068,0.814,0.8222,0.4760801380739019,0.7678,-0.06109999999999993
q4,hipline,RF,m2f,57,88,28,43,0.8393,0.8658,0.6744,0.9556,0.5176493316624895,0.8413,0.0020000000000000018
q4,hipline,GBM,m2f,57,88,28,43,0.8013,0.8033,0.907,0.6,0.08692150716456977,0.8028,0.0014999999999999458
q4,hipline,XGB,m2f,57,88,28,43,0.8253,0.8542,0.7209,0.8222,0.37480679154396057,0.8243,-0.0010000000000000009
q4,hipline,SVM,m2f,57,88,28,43,0.8202,0.7937,0.9302,0.6667,0.4777904526069244,0.7533,-0.06690000000000007
q4,hipline,KNN,m2f,57,88,28,43,0.7251,0.7164,0.7674,0.6444,0.4093966036211879,0.772,0.04690000000000005
q4,WHR,LR,m2f,54,88,25,46,0.72,0.7335,0.6304,0.7857,0.5805087210783699,0.7451,0.02510000000000001
q4,WHR,RF,m2f,54,88,25,46,0.7697,0.8048,0.7609,0.6667,0.4469828994740323,0.757,-0.012700000000000045
q4,WHR,GBM,m2f,54,88,25,46,0.6902,0.7014,0.7826,0.5476,0.09919690102385852,0.7302,0.039999999999999925
q4,WHR,XGB,m2f,54,88,25,46,0.7759,0.8008,0.6522,0.8095,0.6823108792304993,0.7495,-0.02639999999999998
q4,WHR,SVM,m2f,54,88,25,46,0.7624,0.797,0.6522,0.7619,0.5556836122503351,0.7594,-0.0030000000000000027
q4,WHR,KNN,m2f,54,88,25,46,0.7655,0.8091,0.5652,0.881,0.6677523465532426,0.748,-0.01749999999999996
q4,PBF,LR,m2f,46,97,21,50,0.8528,0.8453,0.76,0.8511,0.40407041136483923,0.8226,-0.030200000000000005
q4,PBF,RF,m2f,46,97,21,50,0.8085,0.7541,0.72,0.8085,0.4286786616161616,0.8139,0.00539999999999996
q4,PBF,GBM,m2f,46,97,21,50,0.7702,0.7245,0.7,0.7872,0.8990587653531703,0.757,-0.01319999999999999
q4,PBF,XGB,m2f,46,97,21,50,0.7677,0.7413,0.68,0.7872,0.5025666952133179,0.8045,0.036799999999999944
q4,PBF,SVM,m2f,46,97,21,50,0.7885,0.7553,0.68,0.8511,0.3381637638136002,0.7763,-0.012199999999999989
q4,PBF,KNN,m2f,46,97,21,50,0.7977,0.7721,0.72,0.7872,0.45878549850140343,0.7743,-0.023399999999999976
q4,PSM,LR,m2f,46,96,26,45,0.895,0.8988,0.7556,0.8824,0.5678587336308122,0.8679,-0.027100000000000013
q4,PSM,RF,m2f,46,96,26,45,0.8414,0.8799,0.7111,0.9412,0.6429781468531468,0.8919,0.05049999999999999
q4,PSM,GBM,m2f,46,96,26,45,0.8092,0.8457,0.7111,0.8627,0.8814346594350776,0.8642,0.05499999999999994
q4,PSM,XGB,m2f,46,96,26,45,0.8181,0.8482,0.6222,0.902,0.8365195393562317,0.845,0.026899999999999924
q4,PSM,SVM,m2f,46,96,26,45,0.824,0.8348,0.8,0.7843,0.5397383221097481,0.8588,0.03480000000000005
q4,PSM,KNN,m2f,46,96,26,45,0.8052,0.8426,0.6444,0.8824,0.7488566278274699,0.8496,0.044399999999999995
q3,BMI,LR,m2f,64,125,30,64,0.7013,0.7067,0.6719,0.6885,0.4629674792498745,0.7018,0.0004999999999999449
q3,BMI,RF,m2f,64,125,30,64,0.6399,0.6609,0.4375,0.8361,0.596765392287451,0.6891,0.04920000000000002
q3,BMI,GBM,m2f,64,125,30,64,0.6445,0.6655,0.6719,0.5902,0.21210819889833685,0.666,0.021500000000000075
q3,BMI,XGB,m2f,64,125,30,64,0.6218,0.6425,0.6719,0.5574,0.22759269177913666,0.6526,0.03079999999999994
q3,BMI,SVM,m2f,64,125,30,64,0.6919,0.7112,0.6875,0.6885,0.4533905454012337,0.674,-0.017899999999999916
q3,BMI,KNN,m2f,64,125,30,64,0.6583,0.6604,0.4688,0.8361,0.5293578287476169,0.6493,-0.009000000000000008
q3,weight,LR,m2f,70,118,39,55,0.5584,0.5695,0.4727,0.7302,0.5754015615162977,0.6165,0.05810000000000004
q3,weight,RF,m2f,70,118,39,55,0.5786,0.5324,0.5273,0.6349,0.5341685625104745,0.6468,0.06820000000000004
q3,weight,GBM,m2f,70,118,39,55,0.5359,0.5042,0.3636,0.7619,0.8005750460234946,0.6466,0.11069999999999991
q3,weight,XGB,m2f,70,118,39,55,0.5619,0.502,0.6,0.5873,0.6178506016731262,0.6231,0.06120000000000003
q3,weight,SVM,m2f,70,118,39,55,0.4346,0.4228,1.0,0.0317,0.4183800339894087,0.62,0.1854
q3,weight,KNN,m2f,70,118,39,55,0.5789,0.5454,0.9455,0.2857,0.36996761076857615,0.6508,0.07190000000000007
q3,bmi_z,LR,m2f,66,122,30,64,0.6185,0.6754,0.4375,0.8103,0.6006267851693341,0.6633,0.04479999999999995
q3,bmi_z,RF,m2f,66,122,30,64,0.6991,0.7112,0.8125,0.569,0.41325318616790807,0.7777,0.07859999999999989
q3,bmi_z,GBM,m2f,66,122,30,64,0.6404,0.6704,0.8594,0.3793,0.03695581075203828,0.7217,0.08130000000000004
q3,bmi_z,XGB,m2f,66,122,30,64,0.7012,0.7323,0.5625,0.7586,0.587460994720459,0.7495,0.04830000000000001
q3,bmi_z,SVM,m2f,66,122,30,64,0.6615,0.7129,0.6719,0.6207,0.39257866571123573,0.7103,0.048800000000000066
q3,bmi_z,KNN,m2f,66,122,30,64,0.6457,0.699,0.4844,0.8276,0.5670199002030424,0.669,0.023299999999999987
q3,waistline,LR,m2f,69,121,34,61,0.647,0.656,0.9508,0.3167,0.3899601031693165,0.6592,0.012199999999999989
q3,waistline,RF,m2f,69,121,34,61,0.6011,0.6351,0.6066,0.5833,0.5158088617086082,0.6832,0.08210000000000006
q3,waistline,GBM,m2f,69,121,34,61,0.6049,0.5881,0.8852,0.3167,0.09934077515485214,0.6665,0.06159999999999999
q3,waistline,XGB,m2f,69,121,34,61,0.6214,0.6619,0.541,0.6833,0.6227278709411621,0.663,0.04160000000000008
q3,waistline,SVM,m2f,69,121,34,61,0.568,0.5582,0.6721,0.5167,0.49487003655032724,0.6658,0.0978
q3,waistline,KNN,m2f,69,121,34,61,0.6322,0.6402,0.6885,0.55,0.44603614363435296,0.647,0.014800000000000035
q3,hipline,LR,m2f,69,119,34,60,0.7359,0.7092,0.8,0.6271,0.44966511142264265,0.7148,-0.021100000000000008
q3,hipline,RF,m2f,69,119,34,60,0.7455,0.7358,0.8333,0.6102,0.399261350254418,0.7196,-0.025900000000000034
q3,hipline,GBM,m2f,69,119,34,60,0.7107,0.6695,0.7333,0.6271,0.31990192369559306,0.6767,-0.03400000000000003
q3,hipline,XGB,m2f,69,119,34,60,0.7258,0.7677,0.4333,0.9153,0.7933583855628967,0.6726,-0.053200000000000025
q3,hipline,SVM,m2f,69,119,34,60,0.7583,0.7171,0.75,0.7119,0.4933386157464833,0.6931,-0.06519999999999992
q3,hipline,KNN,m2f,69,119,34,60,0.7138,0.6936,0.7667,0.7119,0.45112467665429645,0.6581,-0.05569999999999997
q3,WHR,LR,m2f,67,121,32,62,0.7236,0.7162,0.7097,0.6271,0.46560405198975197,0.7316,0.008000000000000007
q3,WHR,RF,m2f,67,121,32,62,0.7283,0.7106,0.7097,0.6949,0.5140086365710925,0.7575,0.029200000000000004
q3,WHR,GBM,m2f,67,121,32,62,0.7028,0.6905,0.8548,0.5085,0.19357091187047745,0.7356,0.03280000000000005
q3,WHR,XGB,m2f,67,121,32,62,0.7009,0.6759,0.6613,0.6949,0.5763843059539795,0.7499,0.049000000000000044
q3,WHR,SVM,m2f,67,121,32,62,0.7187,0.7279,0.5968,0.7458,0.5579993847416492,0.7262,0.007499999999999951
q3,WHR,KNN,m2f,67,121,32,62,0.7251,0.6913,0.6774,0.7458,0.5547393054333296,0.7287,0.0036000000000000476
q3,PBF,LR,m2f,61,127,26,68,0.7836,0.8073,0.6029,0.8814,0.39668926528806636,0.7402,-0.043399999999999994
q3,PBF,RF,m2f,61,127,26,68,0.8068,0.8104,0.8971,0.661,0.3872103437240431,0.8086,0.0018000000000000238
q3,PBF,GBM,m2f,61,127,26,68,0.7168,0.749,0.7206,0.6441,0.34506389641884117,0.7708,0.05400000000000005
q3,PBF,XGB,m2f,61,127,26,68,0.8128,0.8025,0.7794,0.7458,0.4659220576286316,0.7841,-0.028699999999999948
q3,PBF,SVM,m2f,61,127,26,68,0.7845,0.8188,0.7353,0.7458,0.37759414351843673,0.7691,-0.01539999999999997
q3,PBF,KNN,m2f,61,127,26,68,0.7267,0.7529,0.7353,0.6441,0.3382221323890596,0.7621,0.03539999999999999
q3,PSM,LR,m2f,60,128,34,60,0.6025,0.5325,0.6667,0.5735,0.5781819817070709,0.6058,0.0032999999999999696
q3,PSM,RF,m2f,60,128,34,60,0.6525,0.644,0.4667,0.8382,0.6801019813519812,0.7816,0.1291
q3,PSM,GBM,m2f,60,128,34,60,0.6525,0.6565,0.35,0.9118,0.9882628405012021,0.769,0.11650000000000005
q3,PSM,XGB,m2f,60,128,34,60,0.6159,0.6105,0.2667,0.9559,0.946683943271637,0.7672,0.1513
q3,PSM,SVM,m2f,60,128,34,60,0.5506,0.5181,0.5167,0.6324,0.5951023003146074,0.6868,0.1362
q3,PSM,KNN,m2f,60,128,34,60,0.5554,0.5295,0.75,0.4412,0.4519925062829196,0.6653,0.1099
