indicator,group,model,full_auc,m2f_auc,f2m_auc,m2f_drop,f2m_drop,stable
BMI,q4,LR,0.7247,0.6335,0.6699,0.0912,0.0548,Y
BMI,q4,RF,0.8215,0.7424,0.7536,0.0791,0.0679,Y
BMI,q4,GBM,0.8098,0.6321,0.7504,0.1777,0.0594,N
BMI,q4,XGB,0.8286,0.7273,0.7617,0.1013,0.0669,N
BMI,q4,SVM,0.765,0.6754,0.7311,0.0896,0.0339,Y
BMI,q4,KNN,0.674,0.603,0.6651,0.071,0.0089,Y
weight,q4,LR,0.7339,0.7151,0.7049,0.0188,0.029,Y
weight,q4,RF,0.7213,0.712,0.6979,0.0093,0.0234,Y
weight,q4,GBM,0.6235,0.7151,0.6528,-0.0916,-0.0293,Y
weight,q4,XGB,0.6602,0.6813,0.6759,-0.0211,-0.0157,Y
weight,q4,SVM,0.6506,0.6474,0.6771,0.0032,-0.0265,Y
weight,q4,KNN,0.6271,0.6659,0.6262,-0.0388,0.0009,Y
bmi_z,q4,LR,0.4753,0.5062,0.4097,-0.0309,0.0656,Y
bmi_z,q4,RF,0.5951,0.4788,0.5793,0.1163,0.0158,N
bmi_z,q4,GBM,0.5775,0.5186,0.5407,0.0589,0.0368,Y
bmi_z,q4,XGB,0.5695,0.4772,0.5697,0.0923,-0.0002,Y
bmi_z,q4,SVM,0.487,0.537,0.4455,-0.05,0.0415,Y
bmi_z,q4,KNN,0.5084,0.426,0.5469,0.0824,-0.0385,Y
waistline,q4,LR,0.7432,0.7275,0.7612,0.0157,-0.018,Y
waistline,q4,RF,0.7237,0.7037,0.7184,0.02,0.0053,Y
waistline,q4,GBM,0.688,0.7063,0.7005,-0.0183,-0.0125,Y
waistline,q4,XGB,0.6931,0.6805,0.7433,0.0126,-0.0502,Y
waistline,q4,SVM,0.7314,0.7149,0.7229,0.0165,0.0085,Y
waistline,q4,KNN,0.7528,0.7558,0.7395,-0.003,0.0133,Y
hipline,q4,LR,0.7678,0.8289,0.7401,-0.0611,0.0277,Y
hipline,q4,RF,0.8413,0.8393,0.819,0.002,0.0223,Y
hipline,q4,GBM,0.8028,0.8013,0.734,0.0015,0.0688,Y
hipline,q4,XGB,0.8243,0.8253,0.7919,-0.001,0.0324,Y
hipline,q4,SVM,0.7533,0.8202,0.6724,-0.0669,0.0809,Y
hipline,q4,KNN,0.772,0.7251,0.6866,0.0469,0.0854,Y
WHR,q4,LR,0.7451,0.72,0.8607,0.0251,-0.1156,N
WHR,q4,RF,0.757,0.7697,0.8234,-0.0127,-0.0664,Y
WHR,q4,GBM,0.7302,0.6902,0.7807,0.04,-0.0505,Y
WHR,q4,XGB,0.7495,0.7759,0.8276,-0.0264,-0.0781,Y
WHR,q4,SVM,0.7594,0.7624,0.8234,-0.003,-0.064,Y
WHR,q4,KNN,0.748,0.7655,0.7752,-0.0175,-0.0272,Y
PBF,q4,LR,0.8226,0.8528,0.8029,-0.0302,0.0197,Y
PBF,q4,RF,0.8139,0.8085,0.8133,0.0054,0.0006,Y
PBF,q4,GBM,0.757,0.7702,0.7457,-0.0132,0.0113,Y
PBF,q4,XGB,0.8045,0.7677,0.7829,0.0368,0.0216,Y
PBF,q4,SVM,0.7763,0.7885,0.7914,-0.0122,-0.0151,Y
PBF,q4,KNN,0.7743,0.7977,0.7705,-0.0234,0.0038,Y
PSM,q4,LR,0.8679,0.895,0.8385,-0.0271,0.0294,Y
PSM,q4,RF,0.8919,0.8414,0.8481,0.0505,0.0438,Y
PSM,q4,GBM,0.8642,0.8092,0.8442,0.055,0.02,Y
