indicator,group,model,full_auc,m2f_auc,f2m_auc,m2f_drop,f2m_drop,stable,auc,sens,spec,n_feat,n_pos,n_neg,best_model
PSM,q4,RF,0.8919,0.8414,0.8481,0.0505,0.0438,Y,0.8919,0.8451,0.8028,5,71,71,True
PSM,q4,LR,0.8679,0.895,0.8385,-0.0271,0.0294,Y,0.8679,0.831,0.831,5,71,71,False
PSM,q4,GBM,0.8642,0.8092,0.8442,0.055,0.02,Y,0.8642,0.8028,0.7746,5,71,71,False
PSM,q4,SVM,0.8588,0.824,0.8269,0.0348,0.0319,Y,0.8588,0.8028,0.8451,5,71,71,False
PSM,q4,KNN,0.8496,0.8052,0.7673,0.0444,0.0823,Y,0.8496,0.7183,0.8732,5,71,71,False
PSM,q4,XGB,0.845,0.8181,0.8596,0.0269,-0.0146,Y,0.845,0.7606,0.8028,5,71,71,False
hipline,q4,RF,0.8413,0.8393,0.819,0.002,0.0223,Y,0.8413,0.7887,0.8243,10,71,74,True
hipline,q4,XGB,0.8243,0.8253,0.7919,-0.001,0.0324,Y,0.8243,0.6901,0.8784,10,71,74,False
PBF,q4,LR,0.8226,0.8528,0.8029,-0.0302,0.0197,Y,0.8226,0.7746,0.8333,3,71,72,True
BMI,q4,RF,0.8215,0.7424,0.7536,0.0791,0.0679,Y,0.8215,0.7465,0.8028,11,71,71,True
PBF,q4,RF,0.8139,0.8085,0.8133,0.0054,0.0006,Y,0.8139,0.8028,0.7778,3,71,72,False
PBF,q3,RF,0.8086,0.8068,0.8044,0.0018,0.0042,Y,0.8086,0.8936,0.6489,3,94,94,True
PBF,q4,XGB,0.8045,0.7677,0.7829,0.0368,0.0216,Y,0.8045,0.7746,0.7917,3,71,72,False
hipline,q4,GBM,0.8028,0.8013,0.734,0.0015,0.0688,Y,0.8028,0.7324,0.7973,10,71,74,False
PBF,q3,XGB,0.7841,0.8128,0.7929,-0.0287,-0.0088,Y,0.7841,0.7234,0.7234,3,94,94,False
bmi_z,q3,RF,0.7777,0.6991,0.7602,0.0786,0.0175,Y,0.7777,0.7128,0.734,14,94,94,True
PBF,q4,SVM,0.7763,0.7885,0.7914,-0.0122,-0.0151,Y,0.7763,0.7887,0.8056,3,71,72,False
PBF,q4,KNN,0.7743,0.7977,0.7705,-0.0234,0.0038,Y,0.7743,0.9859,0.4722,3,71,72,False
hipline,q4,KNN,0.772,0.7251,0.6866,0.0469,0.0854,Y,0.772,0.7324,0.7432,10,71,74,False
PBF,q3,GBM,0.7708,0.7168,0.7835,0.054,-0.0127,Y,0.7708,0.9149,0.5319,3,94,94,False
PBF,q3,SVM,0.7691,0.7845,0.7626,-0.0154,0.0065,Y,0.7691,0.8298,0.6809,3,94,94,False
hipline,q4,LR,0.7678,0.8289,0.7401,-0.0611,0.0277,Y,0.7678,0.7465,0.7568,10,71,74,False
BMI,q4,SVM,0.765,0.6754,0.7311,0.0896,0.0339,Y,0.765,0.6056,0.8451,11,71,71,False
PBF,q3,KNN,0.7621,0.7267,0.7593,0.0354,0.0028,Y,0.7621,0.9043,0.5213,3,94,94,False
WHR,q4,SVM,0.7594,0.7624,0.8234,-0.003,-0.064,Y,0.7594,0.4507,0.9437,5,71,71,True
WHR,q3,RF,0.7575,0.7283,0.7973,0.0292,-0.0398,Y,0.7575,0.7872,0.617,6,94,94,True
PBF,q4,GBM,0.757,0.7702,0.7457,-0.0132,0.0113,Y,0.757,0.6901,0.75,3,71,72,False
WHR,q4,RF,0.757,0.7697,0.8234,-0.0127,-0.0664,Y,0.757,0.5915,0.7887,5,71,71,False
hipline,q4,SVM,0.7533,0.8202,0.6724,-0.0669,0.0809,Y,0.7533,0.6901,0.7568,10,71,74,False
waistline,q4,KNN,0.7528,0.7558,0.7395,-0.003,0.0133,Y,0.7528,0.726,0.6806,4,73,72,True
WHR,q3,XGB,0.7499,0.7009,0.7821,0.049,-0.0322,Y,0.7499,0.766,0.6277,6,94,94,False
bmi_z,q3,XGB,0.7495,0.7012,0.7417,0.0483,0.0078,Y,0.7495,0.5532,0.8511,14,94,94,False
WHR,q4,XGB,0.7495,0.7759,0.8276,-0.0264,-0.0781,Y,0.7495,0.7183,0.6761,5,71,71,False
WHR,q4,KNN,0.748,0.7655,0.7752,-0.0175,-0.0272,Y,0.748,0.6056,0.8169,5,71,71,False
waistline,q4,LR,0.7432,0.7275,0.7612,0.0157,-0.018,Y,0.7432,0.7671,0.6389,4,73,72,False
PBF,q3,LR,0.7402,0.7836,0.7407,-0.0434,-0.0005,Y,0.7402,0.6383,0.8085,3,94,94,False
WHR,q3,GBM,0.7356,0.7028,0.75,0.0328,-0.0144,Y,0.7356,0.766,0.5957,6,94,94,False
weight,q4,LR,0.7339,0.7151,0.7049,0.0188,0.029,Y,0.7339,0.7639,0.5867,8,72,75,True
WHR,q3,LR,0.7316,0.7236,0.7589,0.008,-0.0273,Y,0.7316,0.5213,0.8298,6,94,94,False
waistline,q4,SVM,0.7314,0.7149,0.7229,0.0165,0.0085,Y,0.7314,0.7397,0.6806,4,73,72,False
WHR,q4,GBM,0.7302,0.6902,0.7807,0.04,-0.0505,Y,0.7302,0.662,0.7324,5,71,71,False
WHR,q3,KNN,0.7287,0.7251,0.7594,0.0036,-0.0307,Y,0.7287,0.5,0.8404,6,94,94,False
WHR,q3,SVM,0.7262,0.7187,0.7554,0.0075,-0.0292,Y,0.7262,0.5745,0.8085,6,94,94,False
BMI,q4,LR,0.7247,0.6335,0.6699,0.0912,0.0548,Y,0.7247,0.6197,0.8169,11,71,71,False
waistline,q4,RF,0.7237,0.7037,0.7184,0.02,0.0053,Y,0.7237,0.6027,0.7222,4,73,72,False
bmi_z,q3,GBM,0.7217,0.6404,0.7093,0.0813,0.0124,Y,0.7217,0.7553,0.617,14,94,94,False
weight,q4,RF,0.7213,0.712,0.6979,0.0093,0.0234,Y,0.7213,0.7222,0.64,8,72,75,False
hipline,q3,RF,0.7196,0.7455,0.705,-0.0259,0.0146,Y,0.7196,0.8404,0.5745,10,94,94,True
hipline,q3,LR,0.7148,0.7359,0.6941,-0.0211,0.0207,Y,0.7148,0.8085,0.5957,10,94,94,False
bmi_z,q3,SVM,0.7103,0.6615,0.7204,0.0488,-0.0101,Y,0.7103,0.5957,0.7766,14,94,94,False
BMI,q3,LR,0.7018,0.7013,0.7402,0.0005,-0.0384,Y,0.7018,0.7979,0.5368,4,94,95,True
